occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementMethod,measurementUnit,measurementUnitID
Hakai_phyto_QU39_2016-03-22_0m_12,Hakai_phyto_QU39_2016-03-22_0m_12_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,80,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_12,Hakai_phyto_QU39_2016-03-22_0m_12_2,lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,resting spores,http://vocab.nerc.ac.uk/collection/S11/current/S1134/,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,NA,NA
Hakai_phyto_QU39_2016-03-22_0m_13,Hakai_phyto_QU39_2016-03-22_0m_13_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,80,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_14,Hakai_phyto_QU39_2016-03-22_0m_14_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_15,Hakai_phyto_QU39_2016-03-22_0m_15_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_16,Hakai_phyto_QU39_2016-03-22_0m_16_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,400,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_17,Hakai_phyto_QU39_2016-03-22_0m_17_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,440,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_18,Hakai_phyto_QU39_2016-03-22_0m_18_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,43760,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_19,Hakai_phyto_QU39_2016-03-22_0m_19_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,800,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_20,Hakai_phyto_QU39_2016-03-22_0m_20_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,200,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
