species,,,,,QPHY1328,QPHY1329,QPHY1330,QPHY1332,QPHY1331,QPHY1333,QPHY1350,QPHY1351,QPHY1323,QPHY1352,QPHY1353,QPHY1354,QPHY1355,QPHY1444,QPHY1356,QPHY1357,QPHY1358,QPHY1359,QPHY1360,QPHY1361,QPHY1362,QPHY1363,QPHY1364,QPHY1365,QPHY1366,QPHY1367,QPHY1368,QPHY1369
Dactyliosolen phuketensis,,,,,40,240,,,,,,178,2304,3200,80,,82,,,,,,,,,,,,,,,
Detonula pumila,,,,,,,,,,40,,1602,19296,9000,,,,,,,,,,4354,,40,,,1691,,,
Ditylum brightwellii,,,,,40,40,80,40,40,,40,,288,600,,40,,,,,,,,1244,,360,288,712,3204,1008,,
Ditylum brightwellii r.s.,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,
Eucampia groenlandica,,,,,40,,,,,,,,5904,,,,,,,,,74,,2488,,160,144,,178,,,
Eucampia zodiacus,,,,,,,,,,,,,,,,,,,,,,,,4354,,,1440,,,,,
Fragilariopsis spp.,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,144
Grammatophora spp.,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
Guinardia delicatula,,,,,,,,,,,,,,1800,,,,,,,27986,11433,,1866,,,,267,890,432,,
Guinardia delicatula auxospore,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,
Lauderia annulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptocylindrus danicus,,,,,,,,,,,,1068,,6400,160,,,,,,,,,933,,,,1780,,2160,,
Licmophora spp.,,,,,40,40,40,,80,200,,89,,,,,,40,,,,,,,,,,,,,,
Melosira sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Membraneis challengeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navicula sp.,,,,,40,,,,,40,40,,,,,,,,,,,,,,,,,,89,,,
Odontella longicruris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralia sulcata,,,,,,,,,,,,,,,,,,,80,434,,,,,,,,,,,,
Pleurosigma spp.,,,,,,,,,,,,623,,,,,,,,,,,,311,,,,,89,,,
Pseudo-nitzschia delicatissima,,,,,,,120,,,,,890,4032,1200,440,,82,,,,62,,,7153,,240,1584,,178,2448,,48
Pseudo-nitzschia multiseries,,,,,120,480,160,,,120,,3026,17856,66896,1880,40,656,80,,,248,,,23947,,360,6624,712,1958,2736,,48
Pseudo-nitzschia seriata,,,,,,,,,,,40,1068,8496,36076,720,120,574,,,,806,518,40,70448,,560,11808,1335,7120,2016,,
Rhizosolenia setigera,,,,,,,,,,40,,178,,,40,,,,,,62,,,,,,,623,178,144,,
Rhizosolenia setigera,,r.s.,,,,,,,,,,,,,,,,,,,,,,14306,160,120,1728,,801,3456,,
S. marinoi (large cells),,,,,,,,,,,3000,,,14800,,,,,,1550,,,,316000,,5085,158000,155104,606000,110704,520,192
S. marinoi (small cells),,,,,240,2920,2200,520,960,3000,32033,10502,17424,31411,560,,779,,,3148170,744,2294,1560,165168,280,480,1296,128464,12654,4752,,192
S. marinoi auxospores,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,801,,,
Stephanopyxis nipponica,,,,,,,,,,,,979,,,,,,,,,,,,,,,,,,,,
Stephanopyxis turris,,,,,,,,,,,160,267,,,,,,,,,,,,,,,,,,,,
Thalassionema nitzschioides,,,,,,160,,40,,,,445,,2800,240,80,492,40,80,,62,,,,,,,89,1157,288,,144
Thalassiosira anguste-lineata,,,,,,,,,,,,4628,,,,,,,,,,,,,,,,,,,,
Thalassiosira nordenskioldii,,,,,,,,,,,120,,144,,,,,,,,,,,,,,,,,,,
Thalassiosira pacifica,,,,,,,,,,,1240,171000,2592,,,,,,,,,,,,,,,,,,,
Thalassiosira rotula,,,,,,,,,,,,,288,800,,,82,,,,310,518,,11507,,760,1728,445,6319,144,,
Thalassiosira spp.,,,,,40,120,280,120,1320,1920,1080,103000,4896,19200,720,360,574,120,40,186,496,370,120,10574,41,1040,2016,1691,5518,576,120,528
Thalassiosira sp. Auxospore,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,89,,,
Unidentified centric forms,,,,,240,240,280,120,360,640,680,,1872,2000,560,40,164,40,,62,,74,,311,,,,267,,,,48
Unidentified very small centric forms,,,,,,,,,,,3889,66500,3500,4375,5833,8750,,,,,1750,,,10500,,8751,15000,3889,14000,24500,,
Unidentified pennate forms,,,,,640,880,800,160,320,2400,160,178,288,1800,760,320,738,200,,248,124,,,3421,44,520,864,712,623,1728,720,2112
Unidentified very small pennate forms,,,,,3500,4375,,,,7778,,,3500,13125,5833,,5833,,,4376,,,,94500,,,20000,,91000,178500,,
Unknown forms,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Cells/L,,,,,8720,14390,6310,1000,3280,20547,42682,374438,303140,692786,25019,10510,23474,720,200,3161836,35378,22015,1800,1340854,805,27149,309112,325391,799482,464080,1400,5808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorophyta-Prasinophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oltmannsiella sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterosperma spp.,,,,,,2188,,3889,,3889,3889,,10500,,,8750,5833,,,4376,,,,,,2917,,,,,,7000
Pterosperma spp. resting stages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
