species,,,,QPHY1452,QPHY1453,QPHY1457,QPHY1458,QPHY1459,QPHY1460,QPHY1461,QPHY1463,QPHY1464,QPHY1465,QPHY1467,QPHY1468,QPHY1469,QPHY1470,QPHY1472,QPHY1473,QPHY1474,QPHY1476,QPHY1477,QPHY1478,QPHY1479,QPHY1481,QPHY1482,QPHY1484,QPHY1486,QPHY1488,QPHY1487,QPHY1489,QPHY1490,QPHY1491,QPHY1492,QPHY1493
Pyramimonas spp.,,,,3500,11664,10500,5834,3888,8750,2917,2917,6364,,,2059,5834,,,,,,,,,,7000,3184,,,4375,,,17500,,
Tetraselmis gracilis,,,,,,,,1944,,,,,,,,,,,,,,,,,,,,,,,,,17500,,
Unknown species,,,,21000,46656,164500,72925,23328,42000,72925,32087,73186,84593,46656,35003,84593,61257,46660,49000,101824,647500,78750,31112,427768,350000,210000,41366,40106,38890,48125,157500,90000,367500,27223,131250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choanoflagellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicosta minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calliacantha natans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monosiga marina,,,,1750,,,,,,5834,17502,,40,3888,6177,11668,58340,6999,7000,9546,,,,,,,6364,10938,,,,,,3889,4375
Parvicorbicula socialis,,,,1750,,3500,,,,,20419,3182,,,,,,,,,,,,,,,,,,,,,,,
Unknown species,,,,12250,11664,7000,8751,17496,10500,32087,26253,9546,20419,31104,57652,17502,93344,32662,56000,124098,35000,17500,15556,19444,26250,7000,3182,,7778,8750,43750,35000,367500,31112,30625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apidinella spinifera,,,,,,,,,,2917,,,,,2059,,2917,2333,,283198,17500,,,,,,6364,,,,17500,,17500,,8750
Dinobryon spp.,,,,1750,,,,,,,,,,,,2917,,2333,,3182,70000,,,,,7000,3184,,3889,13125,17500,5000,,,4375
Ochromonas spp.,,,,,,,5834,3888,,,2917,,,1944,,,,,,,,,,,,,,,,4375,,,,,
Unknown species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
