action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,mesh_size__um_,net_dim___cm_,net_length__cm_,line_out_depth,pressure_transducer_depth,sample_style,volume,lugols,collected,preserved,analyzed,lab_technician,analyzing_lab,row_flag,quality_level,comments,quality_log
,13863697,1,2021-03-26,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1467,M,50.0307000000001,-125.0992,50.029774,-125.098047,,,,5,6.2982178,Grab Sample,250,true,2021-03-26T16:48:00.000Z,2021-03-26T19:49:00.000Z,,eva.jordison;jonathan.bergshoeff;meagan.abele,,Collected,Technicianm,,1: Event metadata QCd by MA2: PHYTO Metadata QCd by FM
,15129978,1,2021-03-30,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1468,M,50.0307000000001,-125.0992,50.029971,-125.098289,,,,5,6.0386616,Grab Sample,250,true,2021-03-30T16:33:00.000Z,2021-03-30T20:33:00.000Z,,isabelle.desmarais;Zoe Sandwith,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,15129990,1,2021-04-05,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1469,M,50.0307000000001,-125.0992,50.02942,-125.099016,,,,5,4.9351562,Grab Sample,250,true,2021-04-05T16:54:00.000Z,2021-04-05T20:17:00.000Z,,carolyn.prentice;eva.jordison;Zoe Sandwith,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,15131694,1,2021-04-14,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1470,M,50.0307000000001,-125.0992,,,,,,5,6.1112483,Grab Sample,250,true,2021-04-14T17:08:00.000Z,2021-04-14T21:06:00.000Z,,jonathan.bergshoeff;katie.pocock;meagan.abele,,Collected,Technicianm,,1: Event metadata QCd by MA2: Sample metadata QCd by EJ
,15130016,1,2021-04-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,2,QU39,,QPHY1472,M,50.0307000000001,-125.0992,50.029434,-125.098166,,,,5,5.6464674,Grab Sample,250,true,2021-04-19T17:58:00.000Z,2021-04-19T20:58:00.000Z,,eva.jordison;meagan.abele,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by EJ
,15130021,1,2021-04-26,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1473,M,50.0307000000001,-125.0992,50.02783,-125.097357,,,,5,,Grab Sample,250,true,2021-04-26T17:24:00.000Z,2021-04-26T21:50:00.000Z,,Zoe Sandwith,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by EJ
,15130005,1,2021-05-04,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1474,M,50.0307000000001,-125.0992,,,,,,5,5.0579462,Grab Sample,250,true,2021-05-04T17:08:00.000Z,2021-05-04T20:41:00.000Z,,eva.jordison;jonathan.bergshoeff,,Collected,Technicianm,,1: Phyto metadata QCd by MA2: Event metadata QCd by EJ
,15132757,1,2021-05-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1476,M,50.0307000000001,-125.0992,50.030273,-125.100256,,,,5,5.855589,Grab Sample,250,true,2021-05-19T17:17:00.000Z,2021-05-19T22:58:00.000Z,,carrie.weekes;eva.jordison;isabelle.desmarais;zoe.sandwith,,Collected,Raw,,1: field staff incorrect; lauren portner not present; can't be edited2: Event Metadata QCd by ZS
,15786698,1,2021-05-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1477,M,50.0307000000001,-125.0992,50.030729,-125.097219,,,,5,5.8617158,Grab Sample,250,true,2021-05-28T16:59:00.000Z,2021-05-28T20:35:00.000Z,,eva.jordison;isabelle.desmarais;natalie.mahara,,Collected,Technicianm,,1: Phyto metadata QCd by MA2: Event metadata QCd by EJ
,15148324,1,2021-06-01,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1478,M,50.0307000000001,-125.0992,50.030145,-125.099243,,,,5,5.6307503,Grab Sample,250,true,2021-06-01T16:45:00.000Z,2021-06-01T20:48:00.000Z,,eva.jordison;jonathan.bergshoeff;meagan.abele;Rumer Opie,,Collected,Technicianm,,1: Event metadata QCd by RO2: Phyto metadata QCd by JB
,15786126,1,2021-06-09,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1479,M,50.0307000000001,-125.0992,50.0297575,-125.0996431,,,,5,5.3429393,Grab Sample,250,true,2021-06-09T17:06:00.000Z,2021-06-09T20:00:00.000Z,,faye.manning,,Collected,Technicianm,,1: Event metadata QCd by RO2: Phyto metadata QCd by JB3: redropped a niskin to 20m to collect 1L more water for POMS FA
,15786632,1,2021-06-15,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,2,QU39,,QPHY1481,M,50.0307000000001,-125.0992,50.0312415,-125.1005559,,,,5,3.2544876,Grab Sample,250,true,2021-06-15T16:55:00.000Z,2021-06-15T20:57:00.000Z,,eva.jordison;jonathan.bergshoeff;meagan.abele;rumer.opie,,Collected,Technicianm,,1: Event metadata QCd by RO2: Phyto metadata QCd by JB
,16425176,1,2021-06-22,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1482,M,50.0307000000001,-125.0992,50.0296921,-125.0979199,,,,5,5.5105045,Grab Sample,250,true,2021-06-22T16:51:00.000Z,2021-06-22T20:20:00.000Z,,rumer.opie,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Phyto metadata QCd by JB
,16426298,1,2021-06-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1484,M,50.0307000000001,-125.0992,,,,,,5,5.6837751,Grab Sample,225,true,2021-06-28T16:26:00.000Z,2021-06-28T20:14:00.000Z,,carolyn.prentice;rumer.opie;zoe.sandwith,,Collected,Technicianm,,1: Phyto metadata QCd by JB2: Vol is correct3: Event Metadata QCd by ZS
,16427181,1,2021-07-06,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1486,M,50.0307000000001,-125.0992,,,,,,5,5.5453707,Grab Sample,250,true,2021-07-06T16:53:00.000Z,2021-07-06T20:00:00.000Z,,faye.manning;jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by JB2: Sample metadata QCd by EJ
,17707324,1,2021-07-13,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1488,M,50.0307000000001,-125.0992,50.0295469,-125.0986724,,,,5,5.420672,Grab Sample,250,true,2021-07-13T16:48:00.000Z,2021-07-13T20:00:00.000Z,,eva.jordison;jonathan.bergshoeff;zoe.sandwith,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event metadata QC'd by JB
,17706612,1,2021-07-20,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1487,M,50.0307000000001,-125.0992,50.0313289,-125.098908,,,,5,5.0141227,Grab Sample,250,true,2021-07-20T16:56:00.000Z,2021-07-20T17:59:00.000Z,,rosie.savage;rumer.opie,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,17707448,1,2021-07-27,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1489,M,50.0307000000001,-125.0992,,,,,,5,5.9096015,Grab Sample,250,true,2021-07-27T16:32:00.000Z,2021-07-27T20:00:00.000Z,,jonathan.bergshoeff;meagan.abele;rumer.opie,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event metadata QC'd by JB
,17708169,1,2021-08-03,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1490,M,50.0307000000001,-125.0992,,,,,,5,5.1983648,Grab Sample,250,true,2021-08-03T17:12:00.000Z,2021-08-03T17:20:00.000Z,,carrie.weekes,,Collected,Technicianm,,1: Event metadata QCd by MA2: PHYTO Metadata QCd by FM
,17709040,1,2021-08-10,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1491,M,50.0307000000001,-125.0992,50.0278912,-125.0991021,,,,5,5.9265845,Grab Sample,250,true,2021-08-10T16:24:00.000Z,2021-08-10T20:25:00.000Z,,meagan.abele,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,17709739,1,2021-08-17,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1492,M,50.0307000000001,-125.0992,50.0298843,-125.0985006,,,,5,,Grab Sample,250,true,2021-08-17T16:49:00.000Z,2021-08-17T18:26:00.000Z,,eva.jordison;isabelle.desmarais;jonathan.bergshoeff;katie.pocock;rumer.opie,,Collected,Technicianm,,1: PHYTO Metadata QCd by FM2: Event qc'd by RO
,17710079,1,2021-08-24,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1493,M,50.0307000000001,-125.0992,50.0298091,-125.099882,,,,5,5.9182527,Grab Sample,250,true,2021-08-24T16:41:00.000Z,2021-08-24T08:30:00.000Z,,faye.manning;katie.pocock;rumer.opie,,Collected,Technicianm,,1: PHYTO Metadata QCd by FM2: Event QC'd by RO
,18993517,1,2021-09-02,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1495,M,50.0307000000001,-125.0992,,,,,,5,10.1867811,Grab Sample,250,true,2021-09-02T17:20:00.000Z,2021-09-02T17:30:00.000Z,,zoe.sandwith;rosie.savage,,Collected,Technicianm,,1: Event metadata QCd by JB2: Solo depth for 5 m samples is 10.2 m3: PHYTO Metadata QCd by FM
,18994896,1,2021-09-08,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1496,M,50.0307000000001,-125.0992,50.0302193,-125.0990158,,,,5,6.3631266,Grab Sample,250,true,2021-09-08T16:17:00.000Z,2021-09-08T19:30:00.000Z,,natalie.mahara;jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by JB2: PHYTO Metadata QCd by FM
,18994337,1,2021-09-21,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1497,M,50.0307000000001,-125.0992,50.0302827,-125.0988814,,,,5,5.1112986,Grab Sample,250,true,2021-09-21T16:53:00.000Z,2021-09-21T17:50:00.000Z,,zoe.sandwith;rosie.savage,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,18994496,1,2021-09-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,3,QU39,,QPHY1499,M,50.0307000000001,-125.0992,50.0320469,-125.1050836,,,,5,5.9586895,Grab Sample,250,true,2021-09-28T17:56:00.000Z,2021-09-28T18:15:00.000Z,,zoe.sandwith;carolyn.prentice,,Collected,Technicianm,,1: Event metadata QCd by JB2: PHYTO Metadata QCd by FM
,19639270,1,2021-10-05,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1372,M,50.0307000000001,-125.0992,50.0289088,-125.1000455,,,,5,6.5452261,Grab Sample,250,true,2021-10-05T16:39:00.000Z,2021-10-05T20:08:00.000Z,,jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,20281166,1,2021-10-19,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1373,M,50.0307000000001,-125.0992,50.0312372,-125.1007244,,,,5,6.2385434,Grab Sample,250,true,2021-10-19T16:38:00.000Z,2021-10-19T17:36:00.000Z,,rosie.savage,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,20285766,1,2021-10-28,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1374,M,50.0307000000001,-125.0992,50.0305608,-125.0991374,,,,5,5.9718207,Grab Sample,250,true,2021-10-28T16:22:00.000Z,2021-10-28T16:40:00.000Z,,eva.jordison;isabelle.desmarais,,Collected,Technicianm,,1: Event metadata QCd by JB2: PHYTO Metadata QCd by FM
,20287029,1,2021-11-10,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1378,M,50.0307000000001,-125.0992,50.0321853,-125.1009447,,,,5,6.1188927,Grab Sample,250,true,2021-11-10T17:11:00.000Z,2021-11-10T20:49:00.000Z,,isabelle.desmarais;katie.pocock;zoe.sandwith;carrie.weekes,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by ZS
,20292518,1,2021-11-17,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1377,M,50.0307000000001,-125.0992,50.0364314,-125.1060327,,,,5,6.2561386,Grab Sample,250,true,2021-11-17T17:51:00.000Z,2021-11-17T21:34:00.000Z,,zoe.sandwith;natalie.mahara,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,20292535,1,2021-11-26,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1380,M,50.0307000000001,-125.0992,50.032558,-125.1016882,,,,5,5.7808213,Grab Sample,250,true,2021-11-26T17:46:00.000Z,2021-11-26T18:33:00.000Z,,carolyn.prentice;jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,20294525,1,2021-11-29,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1381,M,50.0307000000001,-125.0992,50.0309952,-125.0998963,,,,5,6.3830228,Grab Sample,250,true,2021-11-29T17:36:00.000Z,2021-11-29T21:37:00.000Z,,natalie.mahara;jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by JB2: Sample metadata QCd by EJ
,20294790,1,2021-12-08,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1382,M,50.0307000000001,-125.0992,50.0301385,-125.0993879,,,,5,5.6091682,Grab Sample,250,true,2021-12-08T17:47:00.000Z,2021-12-08T18:47:00.000Z,,carolyn.prentice;eva.jordison;katie.pocock,,Collected,Technicianm,,1: Event Metadata QCd by FM2: Sample metadata QCd by EJ
,20294943,1,2021-12-14,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1384,M,50.0307000000001,-125.0992,50.030617,-125.100155,,,,5,6.2351076,Grab Sample,250,true,2021-12-14T17:36:00.000Z,2021-12-14T21:56:00.000Z,,jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,20942356,1,2022-01-05,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1385,M,50.0307000000001,-125.0992,50.0286904,-125.0986613,,,,5,6.045786,Grab Sample,250,true,2022-01-05T17:45:00.000Z,2022-01-05T18:01:00.000Z,,isabelle.desmarais;jonathan.bergshoeff,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by EJ
,20944020,1,2022-01-17,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1387,M,50.0307000000001,-125.0992,50.028191,-125.0986538,,,,5,6.8854872,Grab Sample,250,true,2022-01-17T17:54:00.000Z,2022-01-17T18:15:00.000Z,,zoe.sandwith;isabelle.desmarais,,Collected,Technicianm,,1: Event metadata QCd by JB2: Sample metadata QCd by EJ
,20944480,1,2022-01-24,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1386,M,50.0307000000001,-125.0992,50.0313824,-125.1005136,,,,5,6.4849213,Grab Sample,250,true,2022-01-24T17:35:00.000Z,2022-01-24T21:52:00.000Z,,jonathan.bergshoeff;carolyn.prentice,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,20947414,1,2022-02-01,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1389,M,50.0307000000001,-125.0992,50.0282937,-125.0993358,,,,5,5.7586338,Grab Sample,250,true,2022-02-01T17:36:00.000Z,2022-02-01T18:15:00.000Z,,jonathan.bergshoeff;carolyn.prentice,,Collected,Raw,,1: Event metadata QCd by JB
,20947767,1,2022-02-08,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1390,M,50.0307000000001,-125.0992,50.0313808,-125.1024019,,,,5,5.7188339,Grab Sample,250,true,2022-02-08T18:01:00.000Z,2022-02-08T22:26:00.000Z,,eva.jordison;jacob.etzkorn;carolyn.prentice,,Collected,Raw,,
,20948682,1,2022-02-18,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1391,M,50.0307000000001,-125.0992,50.0297507,-125.1001007,,,,5,5.7297997,Grab Sample,250,true,2022-02-18T17:40:00.000Z,2022-02-18T18:57:00.000Z,,jonathan.bergshoeff;isabelle.desmarais;zoe.sandwith;carrie.weekes,,Collected,Raw,,1: Event Metadata QCd by ZS
,20948787,1,2022-02-24,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1392,M,50.0307000000001,-125.0992,50.0285263,-125.0974707,,,,5,6.7984351,Grab Sample,250,true,2022-02-24T17:37:00.000Z,2022-02-24T21:00:00.000Z,,eva.jordison;alana.closs,,Collected,Raw,,1: Event metadata QCd by JB
,22282332,1,2022-03-03,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1393,M,50.0307000000001,-125.0992,50.0299864,-125.0983155,,,,5,5.7436985,Grab Sample,250,true,2022-03-03T17:32:00.000Z,2022-03-03T21:56:00.000Z,,isabelle.desmarais;zoe.sandwith,,Collected,Raw,,1: Event metadata QCd by EJ
,21601835,1,2022-03-08,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1394,M,50.0307000000001,-125.0992,50.0308415,-125.1000636,,,,5,6.2055786,Grab Sample,250,true,2022-03-08T17:44:00.000Z,2022-03-08T21:30:00.000Z,,eva.jordison,,Collected,Raw,,1: Event metadata QCd by JB
,22253464,1,2022-03-15,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1395,M,50.0307000000001,-125.0992,50.032359,-125.1012923,,,,5,5.885552,Grab Sample,250,true,2022-03-15T18:07:00.000Z,2022-03-15T18:30:00.000Z,,carolyn.prentice;faye.manning,,Collected,Raw,,1: Event metadata QCd by JB
,22282469,1,2022-03-24,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1396,M,50.0307000000001,-125.0992,50.0297699,-125.0978173,,,,5,6.342398,Grab Sample,250,true,2022-03-24T16:38:00.000Z,2022-03-24T21:05:00.000Z,,zoe.sandwith;isabelle.desmarais,,Collected,Raw,,1: Event metadata QCd by EJ
,22282454,1,2022-03-29,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,,QPHY1397,M,50.0307000000001,-125.0992,50.0303942,-125.0992871,,,,5,7.0670582,Grab Sample,250,true,2022-03-29T16:38:00.000Z,2022-03-29T20:05:00.000Z,,isabelle.desmarais;zoe.sandwith;carrie.weekes,,Collected,Raw,,1: Event Metadata QCd by ZS
,22294182,1,2022-04-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMA5,1,QU39,,QPHY1398,M,50.0307000000001,-125.0992,50.0304919,-125.0987123,,,,5,7.365156,Grab Sample,250,true,2022-04-07T16:20:00.000Z,2022-04-07T21:04:00.000Z,,faye.manning,,Collected,Raw,,1: Event metadata QCd by EJ
